"Fecha","Descripción","Depósitos","Retiros","Saldo"
"09 Abr 2026","DEPOSITO INTERBANCARIO AUT 0433640","$ 5,500.00",,"$ 6,844.37"
"08 Abr 2026","DIS.EFE.BANAMEX GUSTAVO BAZ 2",,"$ 9,000.00","$ 1,344.37"
"08 Abr 2026","DEPOSITO INTERBANCARIO AUT 0409761","$ 9,000.00",,"$ 10,344.37"
"07 Abr 2026","PAGO DE SERVICIO    687500 A TB 54823690",,"$ 19,908.74","$ 1,344.37"
"07 Abr 2026","DEPOSITO INTERBANCARIO AUT 0755843","$ 20,000.00",,"$ 21,253.11"
"07 Abr 2026","PCOMP 085902490080309262","$ 0.01",,"$ 1,253.11"
"06 Abr 2026","PAGO DE SERVICIO    150405 A TB 54823690",,"$ 3,000.00","$ 1,253.10"
"06 Abr 2026","DEPOSITO INTERBANCARIO AUT 5472480","$ 3,000.00",,"$ 4,253.10"
"06 Abr 2026","PAGO INTERBANCARIO AUT 0468579",,"$ 49,500.00","$ 1,253.10"
"06 Abr 2026","DEPOSITO INTERBANCARIO AUT 4808783","$ 49,093.20",,"$ 50,753.10"
"06 Abr 2026","PAGO INTERBANCARIO AUT 0938333",,"$ 700.21","$ 1,659.90"
"06 Abr 2026","PAGO INTERBANCARIO AUT 0938169",,"$ 250.00","$ 2,360.11"
"06 Abr 2026","PAGO INTERBANCARIO AUT 0772148",,"$ 350.00","$ 2,610.11"
"06 Abr 2026","PAGO INTERBANCARIO AUT 0249008",,"$ 190,000.00","$ 2,960.11"
"06 Abr 2026","PAGO INTERBANCARIO AUT 0245831",,"$ 5,000.00","$ 192,960.11"
"06 Abr 2026","DEPOSITO INTERBANCARIO AUT 0246231","$ 196,372.80",,"$ 197,960.11"
"06 Abr 2026","DEPOSITO INTERBANCARIO AUT 0237884","$ 1.00",,"$ 1,587.31"
"06 Abr 2026","ESPERANZA ECHEGARAY PNA 2005083U1",,"$ 38.00","$ 1,586.31"
